"x" "y" "res" "year"
746434.6219 4289168.4753 0 2018
746431.8063 4289162.0312 1 2018
746421.8795 4289145.9716 0 2018
746414.4386 4289144.0531 1 2018
746411.5615 4289141.6345 1 2018
746392.0832 4289128.8279 1 2018
746384.372 4289128.4403 0 2018
746378.4139 4289129.0481 1 2018
746374.2379 4289130.4925 0 2018
746370.7559 4289133.1431 1 2018
746366.5764 4289137.1226 1 2018
746427.736 4289165.9032 1 2018
746424.1296 4289160.583 1 2018
746419.7868 4289154.2234 1 2018
746411.5271 4289144.3572 0 2018
746405.1124 4289139.1267 0 2018
746400.5133 4289136.6195 0 2018
746393.7418 4289133.7859 0 2018
746386.3514 4289132.9037 1 2018
746380.0792 4289134.3042 0 2018
746369.6368 4289142.0942 1 2018
746432.0066 4289177.0567 0 2018
746426.0925 4289172.3622 0 2018
746414.6321 4289151.6581 0 2018
746410.0609 4289150.059 1 2018
746406.8559 4289146.5034 1 2018
746380.7814 4289138.1671 0 2018
746374.3709 4289142.2835 1 2018
763014.4464 4292378.3361 1 2018
762968.9501 4292384.8288 1 2018
762982.6941 4292351.2844 1 2018
763068.2033 4292241.8106 0 2018
760120.2316 4293573.893 1 2018
760194.6744 4293587.3333 1 2018
763006.0969 4292427.9502 0 2018
763108.5192 4292382.2975 1 2018
763092.073 4292366.3635 0 2018
763072.1458 4292442.8266 0 2018
762960.495 4292340.1272 1 2018
763036.0535 4292261.5627 0 2018
760395.1847 4291026.4744 0 2018
760384.4466 4291070.2686 0 2018
760343.1477 4291069.1119 0 2018
760399.4523 4290983.6767 0 2018
760346.418 4290953.0784 0 2018
759467.6058 4291547.6783 0 2018
751615.5397 4286755.1511 1 2018
751615.15 4286749.2116 0 2018
751660.6749 4286754.8978 0 2018
751591.7122 4286671.0257 0 2018
751605.1847 4286638.9466 0 2018
751644.3289 4286568.7179 1 2018
751661.4428 4286551.9602 1 2018
760223.2687 4293404.4593 0 2018
760237.6648 4293441.4462 0 2018
759399.8593 4291588.8341 1 2018
760001.6484 4293511.308 1 2018
760081.8684 4293589.1437 0 2018
751619.2559 4286705.8683 1 2018
751595.0668 4286700.3477 0 2018
751601.261 4286691.176 0 2018
751633.0816 4286615.2418 0 2018
751674.0371 4286558.8691 0 2018
751721.4894 4286543.7079 0 2018
759381.0704 4286856.5749 0 2018
759545.7082 4286939.0544 0 2018
760416.895 4291153.3597 0 2018
760283.3943 4291167.9789 0 2018
760371.1709 4291188.8631 0 2018
760318.0668 4290974.7611 0 2018
760397.6521 4291200.9167 1 2018
760342.0578 4291169.762 1 2018
760010.8717 4293538.5566 1 2018
760097.4121 4293538.2545 0 2018
759428.8528 4291566.8166 0 2018
759371.0265 4291571.4041 1 2018
768539.61478 4291932.11066 1 2018
751807.3273 4286659.8554 1 2018
751764.2212 4286649.0883 1 2018
751779.7146 4286687.7748 1 2018
751798.4373 4286559.4499 0 2018
751796.7248 4286550.3127 0 2018
751772.7981 4286598.7071 1 2018
751772.7836 4286624.3517 1 2018
751810.0054 4286598.5139 1 2018
751575.4814 4287474.502 1 2018
751570.6773 4287429.0865 1 2018
751603.9428 4287455.1009 1 2018
760405.1053 4293525.8962 0 2018
760286.1172 4293505.4424 0 2018
760228.7516 4293484.6973 0 2018
751627.6624 4287424.4852 1 2018
751614.6412 4287408.4211 0 2018
759487.2655 4286881.1255 0 2018
759602.5433 4291534.1268 0 2018
737264.3753 4295733.134 1 2018
737259.3938 4295734.4259 1 2018
737250.1406 4295736.7847 1 2018
737181.6795 4295751.0417 1 2018
737171.957 4295755.3993 1 2018
737166.5369 4295758.0335 1 2018
737163.7497 4295759.7709 1 2018
737279.3632 4295727.0163 1 2018
737272.4194 4295728.2406 0 2018
737264.4932 4295729.5061 0 2018
737257.8157 4295731.3715 1 2018
737252.8309 4295732.7309 0 2018
737246.2307 4295733.9878 0 2018
737241.9244 4295734.8247 1 2018
737234.624 4295736.8491 1 2018
751771.7615 4286563.0738 0 2018
751824.3791 4286633.0751 0 2018
751821.8714 4286621.5472 1 2018
751826.8177 4286606.0594 0 2018
759523.2044 4287018.7956 0 2018
759439.4946 4287037.9975 0 2018
759501.9633 4287077.0952 0 2018
760187.742 4291028.1132 1 2018
760240.4098 4291151.4682 1 2018
760245.4933 4291112.1001 1 2018
760274.9788 4291134.0662 0 2018
760153.0056 4293452.9924 0 2018
759543.7763 4291479.8059 1 2018
759559.9499 4291517.4983 1 2018
751771.1477 4286668.7254 1 2018
751799.2508 4286630.9589 1 2018
759515.2996 4291449.2248 1 2018
759461.9405 4286946.0125 0 2018
759510.4115 4291567.671 1 2018
751592.4363 4287437.575 1 2018
751642.2622 4287366.5044 1 2018
760405.4846 4293587.7774 0 2018
760356.3637 4293617.443 0 2018
751613.575 4287457.9959 1 2018
751645.5188 4287380.8668 0 2018
759562.9328 4291554.7213 0 2018
751684.3278 4286698.3195 0 2018
751771.8471 4286534.9609 0 2018
751767.6264 4286533.6096 0 2018
751750.3993 4286530.0952 1 2018
751707.4602 4286585.0656 1 2018
761428.4125 4290766.9222 1 2018
759533.3972 4291566.5231 1 2018
751497.4243 4287468.0335 0 2018
751538.7683 4287488.7582 1 2018
758734.0761 4291943.8745 1 2018
737227.6129 4295737.4381 1 2018
737222.8238 4295738.3514 1 2018
737218.9296 4295739.2307 1 2018
737214.7911 4295740.0482 1 2018
737209.5929 4295741.1657 1 2018
737204.0116 4295742.1363 1 2018
737200.0388 4295743.2289 1 2018
737193.673 4295744.9766 1 2018
737187.3503 4295746.8563 1 2018
737180.5936 4295747.8073 1 2018
737172.2493 4295750.1895 0 2018
737167.0387 4295753.1951 1 2018
737162.9256 4295755.5151 1 2018
737249.6229 4295731.1878 1 2018
737211.0673 4295736.9243 1 2018
751670.3796 4286624.3487 1 2018
751691.1353 4286584.6884 1 2018
751678.0059 4286668.4247 1 2018
