"x","y","R_t0","f1_t0"
755045.00234,4296681.64118111,0,0
755066.00234,4296681.64118111,0,0
755073.00234,4296681.64118111,0,0
755045.00234,4296674.64118111,0,0
755073.00234,4296674.64118111,0,0
755073.00234,4296667.64118111,0,0
755073.00234,4296660.64118111,0,0
752168.00234,4296639.64118111,0,0
752175.00234,4296639.64118111,0,0
751440.00234,4296618.64118111,0,0
751440.00234,4296611.64118111,0,0
754520.00234,4296611.64118111,0,0
754527.00234,4296611.64118111,0,0
754534.00234,4296611.64118111,0,0
754541.00234,4296611.64118111,0,0
751433.00234,4296604.64118111,0,0
751440.00234,4296604.64118111,0,0
754520.00234,4296604.64118111,0,0
754527.00234,4296604.64118111,0,0
754534.00234,4296604.64118111,0,0
754541.00234,4296604.64118111,0,0
754548.00234,4296604.64118111,0,0
754555.00234,4296604.64118111,0,0
754562.00234,4296604.64118111,0,0
754569.00234,4296604.64118111,0,0
754576.00234,4296604.64118111,0,0
754583.00234,4296604.64118111,0,0
751433.00234,4296597.64118111,0,0
751440.00234,4296597.64118111,0,0
754520.00234,4296597.64118111,0,0
754527.00234,4296597.64118111,0,0
754534.00234,4296597.64118111,0,0
754541.00234,4296597.64118111,0,0
754548.00234,4296597.64118111,0,0
754555.00234,4296597.64118111,0,0
754562.00234,4296597.64118111,0,0
754569.00234,4296597.64118111,0,0
754576.00234,4296597.64118111,0,0
754583.00234,4296597.64118111,0,0
754590.00234,4296597.64118111,0,0
754597.00234,4296597.64118111,0,0
754520.00234,4296590.64118111,0,0
754527.00234,4296590.64118111,0,0
754534.00234,4296590.64118111,0,0
754541.00234,4296590.64118111,0,0
754548.00234,4296590.64118111,0,0
754555.00234,4296590.64118111,0,0
754562.00234,4296590.64118111,0,0
754569.00234,4296590.64118111,0,0
754576.00234,4296590.64118111,0,0
754583.00234,4296590.64118111,0,0
754590.00234,4296590.64118111,0,0
754597.00234,4296590.64118111,0,0
751433.00234,4296583.64118111,0,0
754513.00234,4296583.64118111,0,0
754520.00234,4296583.64118111,0,0
754527.00234,4296583.64118111,0,0
754534.00234,4296583.64118111,0,0
754541.00234,4296583.64118111,0,0
754548.00234,4296583.64118111,0,0
754555.00234,4296583.64118111,0,0
754562.00234,4296583.64118111,0,0
754569.00234,4296583.64118111,0,0
754576.00234,4296583.64118111,0,0
754583.00234,4296583.64118111,0,0
754590.00234,4296583.64118111,0,0
754597.00234,4296583.64118111,0,0
751440.00234,4296576.64118111,0,0
754541.00234,4296576.64118111,0,0
754548.00234,4296576.64118111,0,0
754555.00234,4296576.64118111,0,0
754562.00234,4296576.64118111,0,0
754569.00234,4296576.64118111,0,0
754576.00234,4296576.64118111,0,0
754583.00234,4296576.64118111,0,0
754590.00234,4296576.64118111,0,0
754597.00234,4296576.64118111,0,0
754604.00234,4296576.64118111,0,0
754611.00234,4296576.64118111,0,0
751440.00234,4296569.64118111,0,0
754576.00234,4296569.64118111,0,0
754583.00234,4296569.64118111,0,0
754590.00234,4296569.64118111,0,0
754597.00234,4296569.64118111,0,0
754604.00234,4296569.64118111,0,0
754611.00234,4296569.64118111,0,0
754618.00234,4296569.64118111,0,0
754625.00234,4296569.64118111,0,0
754632.00234,4296569.64118111,0,0
751440.00234,4296562.64118111,0,0
754597.00234,4296562.64118111,0,0
754604.00234,4296562.64118111,0,0
754611.00234,4296562.64118111,0,0
754618.00234,4296562.64118111,0,0
754625.00234,4296562.64118111,0,0
754632.00234,4296562.64118111,0,0
